Nomor,Nomor Identitias,Badan Usaha,Nama Stasiun,Skema SPKLU,Provinsi,Kabupaten / Kota,Alamat,Latitude,Longitude,Tanggal Pengajuan,Tanggal Verifikasi,Status Terintegrasi,Total Transaksi,Total Konsumsi Listrik,Total Pendapatan
661,01.POSO.00.7372.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 PARE PARE,POSO,Sulawesi Selatan,KOTA PARE PARE,"Jl. Veteran No.32, Ujung Sabbang, Kec. Ujung, Kota Parepare, Sulawesi Selatan",-4.01045,119.623323,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
662,01.POSO.00.7372.005,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 PARE PARE,POSO,Sulawesi Selatan,KOTA PARE PARE,"Jl. Veteran No.32, Ujung Sabbang, Kec. Ujung, Kota Parepare, Sulawesi Selatan",-4.01045,119.623323,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
663,05.ROSO.00.3171.057,PT UTOMO CHARGEPLUS INDONESIA,SPKLU Utomo Charge+ Thamrin Nine UOB Plaza Basement 3,ROSO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"Jl. M.H. Thamrin No.Kav 8-9, RT.05/RW.01, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, DKI Jakarta",-6.198875428,106.8222228,12/5/2024 10:32,12/19/2024 9:04,Ya,,,
664,,PANCA PILAR INDONESIA,Centennial Tower,ROSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Centennial Tower, Jl. Gatot Subroto No.kav 24-25",-6.230064194,106.8206128,1/7/2025 10:00,,Tidak,,,
665,01.POSO.00.3504.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Hotel Narita,POSO,Jawa Timur,KAB. TULUNGAGUNG,"Jl. KH. Agus Salim No. 87-89, Kenayan, Kecamatan Tulungagung, Kabupaten Tulungagung, Jawa Timur",-8.060538,111.900919,1/15/2025 16:28,1/31/2025 14:37,Ya,,,
666,06.ROSO.00.3374.037,SUMBER DAYA ALAMINDO,Taman Kuliner Ventura,ROSO,Jawa Tengah,KOTA SEMARANG,"Jl. Ki Mangunsarkoro No.15, Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah",-6.989882339,110.4291151,2/3/2025 14:48,,Ya,,,
667,05.ROSO.00.5171.009,PT UTOMO CHARGEPLUS INDONESIA,SPKLU Utomo Charge+ Juragan Atap Bali,ROSO,Bali,KOTA DENPASAR,"Jalan Buluh Indah No.153, Ubung, Kecamatan Denpasar Utara, Kota Denpasar, Bali 80111","-8,637,655,253","1,151,964,617",,10/24/2023 13:14,Tidak,,,
668,01.POSO.00.3504.005,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Hotel Narita,POSO,Jawa Timur,KAB. TULUNGAGUNG,"Jl. KH. Agus Salim No. 87-89, Kenayan, Kecamatan Tulungagung, Kabupaten Tulungagung, Jawa Timur",-8.060538,111.900919,1/15/2025 16:28,1/31/2025 14:37,Ya,,,
669,01.PPOO.00.3578.032,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,Resto Ayam Goreng Gringging Lombok 2,PPOO,Jawa Timur,KOTA SURABAYA,"Telaga Utama Road, Sambikerep, Kota Surabaya, Jawa Timur 60217",-7.28541,112.647684,1/15/2025 16:28,1/31/2025 14:37,Ya,,,
670,01.POSO.00.3671.017,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 CIKOKOL,POSO,Banten,KOTA TANGERANG,"Sukasari, Kec. Tangerang, Kota Tangerang, Banten 15118",-6.183792,106.642595,9/9/2024 16:55,9/27/2024 10:17,Ya,,,
671,01.POSO.00.3603.014,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 TELUKNAGA,POSO,Banten,KAB. TANGERANG,"JL. Raya Mauk, Sepatan, Tangerang, Banten, 15520, Indonesia",-6.1115475,106.5704703,9/9/2024 16:55,9/27/2024 10:17,Ya,,,
672,01.POSO.00.3602.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 BANTEN SELATAN,POSO,Banten,KAB. LEBAK,"Jl. RT Hardiwinangun No.41, Rangkasbitung Banten 42312",-6.354946,106.249116,9/9/2024 16:55,9/27/2024 10:17,Ya,,,
